Date,Open,High,Low,Close,Volume
6-Jan-16,25.79,25.99,25.68,25.75,1144834
5-Jan-16,25.97,26.00,25.77,25.96,2816292
4-Jan-16,25.67,25.85,25.24,25.60,3871099
31-Dec-15,28.22,28.37,27.98,27.98,1005320
30-Dec-15,28.22,28.40,28.15,28.30,1260852
29-Dec-15,28.44,28.51,28.33,28.41,1053184
28-Dec-15,28.37,28.37,28.07,28.17,2511954
24-Dec-15,29.20,29.24,29.03,29.08,942179
23-Dec-15,29.45,29.49,29.30,29.39,1349418
22-Dec-15,29.57,29.82,29.39,29.76,1560027
21-Dec-15,29.40,29.43,29.24,29.39,2498619
18-Dec-15,28.40,28.66,28.40,28.60,2699718
16-Dec-15,28.08,28.49,27.94,28.35,1842146
15-Dec-15,36.26,36.45,36.18,36.30,1755683
14-Dec-15,36.13,36.28,35.98,36.26,2159975
11-Dec-15,35.10,35.30,34.82,34.91,2038673
10-Dec-15,35.55,35.77,35.40,35.55,2114469
9-Dec-15,35.75,36.05,35.50,35.51,1267272
8-Dec-15,35.42,35.86,35.42,35.70,2111612
7-Dec-15,36.67,36.78,36.09,36.27,1475320
4-Dec-15,36.39,36.93,36.34,36.82,687985
3-Dec-15,37.15,37.23,36.88,36.97,1335656
2-Dec-15,37.00,37.13,36.70,36.87,1537006
1-Dec-15,36.00,36.15,35.71,35.83,1016174
30-Nov-15,35.34,35.92,35.23,35.92,2054164
27-Nov-15,35.41,35.50,35.10,35.10,2940356
25-Nov-15,37.90,37.92,37.69,37.85,813742
24-Nov-15,37.23,37.53,37.15,37.51,871356
23-Nov-15,37.48,37.49,37.27,37.40,1760026
20-Nov-15,38.06,38.08,37.84,37.86,1891985
19-Nov-15,37.95,38.06,37.80,37.98,1315509
18-Nov-15,37.16,37.57,37.08,37.47,3502456
17-Nov-15,37.48,37.71,37.43,37.55,1407681
16-Nov-15,37.43,38.00,37.28,37.95,3357484
13-Nov-15,36.69,36.69,36.06,36.18,3108156
